City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,macheng,31.1783,115.0319,27.9,79,23,1.3,CN,1722883301
227,barkhan,29.8977,69.5256,27.74,62,72,1.87,PK,1722883302
228,berea,41.3662,-81.8543,29.61,67,75,5.14,US,1722883303
229,mutoko,-17.397,32.2268,15.28,24,2,1.41,ZW,1722883304
230,sidney,-33.8679,151.2073,9.62,85,40,3.09,AU,1722883281
231,tchintabaraden,15.8969,5.7985,33.67,42,58,4.24,NE,1722883306
232,yongchuan,29.3514,105.8947,26.26,87,2,0.62,CN,1722883307
233,sarandi del yi,-33.35,-55.6333,15.28,94,100,6.97,UY,1722883308
234,marco island,25.9363,-81.7157,30.61,78,100,9.71,US,1722883309
235,sept-iles,50.2001,-66.3821,22.2,46,75,6.17,CA,1722883247
236,dutsen wai,10.8501,8.199,22.42,82,100,2.75,NG,1722883311
237,la passe,45.5549,-0.8967,24.12,74,0,5.06,FR,1722883312
238,dalandzadgad,43.5708,104.425,25.21,29,87,3.17,MN,1722883314
239,gurlan,41.8447,60.3919,27.04,19,0,4.08,UZ,1722883315
240,constantia,44.1833,28.65,24.38,61,100,5.4,RO,1722883316
241,st. john's,47.5649,-52.7093,23.26,87,100,11.32,CA,1722883317
242,akhmim,26.5622,31.745,37.11,15,39,2.98,EG,1722883318
243,opuwo,-18.0607,13.84,21.41,18,0,0.25,NA,1722883320
244,newman,37.3138,-121.0208,31.02,18,0,0.97,US,1722883321
245,jumla,29.2747,82.1838,16.31,89,100,0.59,NP,1722883322
246,puttalam,8.0362,79.8283,27.26,82,95,7.31,LK,1722883323
247,kununurra,-15.7667,128.7333,16.99,88,100,2.06,AU,1722883324
248,onega,63.9061,38.1404,11.45,79,28,2.64,RU,1722883326
249,neon karlovasion,37.7903,26.7044,29.87,59,0,3.31,GR,1722883327
250,vadso,70.0744,29.7487,11.09,87,0,5.14,NO,1722883328
251,mukalla,14.5425,49.1242,28.11,81,100,2.93,YE,1722883329
252,gulf breeze,30.3571,-87.1639,33.58,60,0,6.17,US,1722883291
253,port lincoln,-34.7333,135.8667,9.22,91,99,4.21,AU,1722883332
254,qeshm,26.9581,56.2719,32.93,80,57,7.87,IR,1722883333
255,imperatriz,-5.5264,-47.4917,36.03,41,0,3.09,BR,1722883334
256,rosarito,32.3333,-117.0333,27.26,72,97,3.61,MX,1722883335
257,beloyarskiy,63.7119,66.6722,11.5,70,100,3.74,RU,1722883336
258,faya-largeau,17.9257,19.1043,31.45,53,100,6.75,TD,1722883337
259,katima mulilo,-17.5,24.2667,19.57,14,0,1.56,NA,1722883338
260,katsuren-haebaru,26.3369,127.8719,26.69,96,100,5.14,JP,1722883339
261,west wodonga,-36.1257,146.8486,0.5,95,6,1.38,AU,1722883341
262,salekhard,66.53,66.6019,6.86,68,76,5.12,RU,1722883342
263,amalapuram,16.5833,82.0167,26.85,88,100,1.36,IN,1722883343
264,mwinilunga,-11.7358,24.4293,18.69,19,0,2.42,ZM,1722883344
265,ancud,-41.8697,-73.8203,8.21,91,100,6.49,CL,1722883345
266,hafar al-batin,28.4328,45.9708,37.32,10,0,3.09,SA,1722883346
267,nova sintra,14.8667,-24.7167,27.56,71,42,2.07,CV,1722883347
268,kidal,18.4411,1.4078,29.2,57,64,9.46,ML,1722883348
269,guerrero negro,27.9769,-114.0611,27.98,49,100,4.09,MX,1722883349
270,auki,-8.7676,160.7034,23.4,92,100,3.59,SB,1722883350
271,les cayes,18.2,-73.75,31.98,63,2,4.83,HT,1722883351
272,sumbe,-11.2061,13.8437,20.48,89,58,2.36,AO,1722883352
273,oroshaza,46.5667,20.6667,21.71,53,100,7.11,HU,1722883353
274,ust-nera,64.5667,143.2,11.54,66,99,2.08,RU,1722883354
275,port augusta,-32.5,137.7667,6.62,83,16,0.77,AU,1722883355
276,banda aceh,5.5577,95.3222,27.03,78,100,5.28,ID,1722883356
277,baijiantan,45.6333,85.1833,29.58,24,55,5.11,CN,1722883357
278,new norfolk,-42.7826,147.0587,9.71,83,100,2.01,AU,1722883359
279,al kharj,24.155,47.3346,37.32,8,89,3.76,SA,1722883262
280,badagry,6.4167,2.8833,24.79,84,86,5.61,NG,1722883361
281,silvassa,20.2667,73.0167,25.45,91,100,3.59,IN,1722883362
282,kangding,30.0513,101.9603,14.26,79,3,2.52,CN,1722883363
283,prado,-17.3411,-39.2208,24.48,67,0,3.39,BR,1722883364
284,bikenibeu village,1.3673,173.1241,28.87,62,99,5.7,KI,1722883365
285,chulakkurgan,43.765,69.1814,26.32,21,80,3.98,KZ,1722883366
286,svetlyy,54.675,20.1347,20.03,94,24,3.8,RU,1722883374
287,san antonio de pale,-1.4014,5.6325,22.2,75,100,4.33,GQ,1722883375
288,fortuna,40.5982,-124.1573,14.64,96,100,0.0,US,1722883376
289,miyako,39.6367,141.9525,22.27,97,87,1.01,JP,1722883377
290,puerto ayacucho,5.6639,-67.6236,24.78,91,100,0.29,VE,1722883378
291,tsiombe,-25.3,45.4833,18.26,91,5,0.9,MG,1722883379
292,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1722883380
293,hadibu,12.65,54.0333,25.64,80,37,8.59,YE,1722883381
294,el dorado,38.7666,-120.5177,31.89,30,0,2.68,US,1722883383
295,kruisfontein,-34.0033,24.7314,8.82,60,0,2.71,ZA,1722883384
296,yigo village,13.5361,144.8886,26.14,89,0,3.09,GU,1722883385
297,juneau,58.3019,-134.4197,19.0,59,0,2.57,US,1722883386
298,barabai,-2.5833,115.3833,23.15,88,100,0.51,ID,1722883387
299,hanceville,34.0607,-86.7675,32.45,48,41,3.06,US,1722883388
300,dalhart,36.0595,-102.5133,33.64,27,0,7.2,US,1722883257
301,montelibano,7.9829,-75.4229,31.06,69,76,2.37,CO,1722883390
302,mirny,62.5353,113.9611,12.78,62,86,2.26,RU,1722883391
303,inhambane,-23.865,35.3833,22.99,68,75,6.17,MZ,1722883392
304,grand baie,-20.0182,57.5802,19.33,79,0,0.89,MU,1722883393
305,cova figueira,14.8905,-24.2934,20.42,84,68,1.48,CV,1722883394
306,colonia,50.9333,6.95,24.52,70,0,1.54,DE,1722883395
307,brisas de zicatela,15.8369,-97.0419,29.29,84,75,3.6,MX,1722883397
308,san andres,12.5847,-81.7006,32.01,70,20,6.17,CO,1722883398
309,harstad,68.799,16.5293,21.41,73,84,0.99,NO,1722883399
310,ghadamis,30.1337,9.5007,33.03,28,0,7.0,LY,1722883400
311,el porvenir,13.7617,-87.3458,31.63,48,22,1.81,HN,1722883401
312,laojunmiao,39.8333,97.7333,22.13,36,7,2.72,CN,1722883402
313,quang ngai,15.1167,108.8,24.1,91,100,1.91,VN,1722883180
314,sangueya,10.7,-14.3667,25.02,93,90,2.55,GN,1722883404
315,salinopolis,-0.6136,-47.3561,28.5,70,55,6.7,BR,1722883405
316,vernon,50.2581,-119.2691,30.0,33,0,1.03,CA,1722883406
317,lompoc,34.6391,-120.4579,19.32,72,0,5.14,US,1722883181
318,masterton,-40.9597,175.6575,1.72,95,0,0.7,NZ,1722883408
319,severnoye,56.3491,78.3619,15.53,93,100,1.8,RU,1722883409
320,fort bragg,35.139,-79.006,29.74,77,75,4.63,US,1722883411
321,la mira,18.035,-102.3266,29.95,64,100,3.25,MX,1722883412
322,westport,41.1415,-73.3579,30.45,55,0,3.09,US,1722883170
323,porto novo,6.4965,2.6036,25.9,81,98,4.99,BJ,1722883414
324,vorkuta,67.5,64.0,6.84,72,6,2.09,RU,1722883418
325,coxen hole,16.3244,-86.5366,30.6,70,0,4.12,HN,1722883423
326,sydney,-33.8679,151.2073,9.63,85,40,3.09,AU,1722882731
327,bardai,11.65,7.2333,23.03,87,100,3.63,NG,1722883426
328,nguruka,-5.1092,31.0419,21.65,21,0,1.49,TZ,1722883427
329,newport,51.5877,-2.9984,20.88,82,68,5.95,GB,1722883428
330,nuuk,64.1835,-51.7216,11.34,66,75,1.54,GL,1722883429
331,lazaro cardenas,17.9583,-102.2,30.09,65,100,3.21,MX,1722883377
332,urangan,-25.3,152.9,18.76,73,4,5.48,AU,1722883431
333,bandar lampung,-5.4254,105.258,21.93,96,100,0.75,ID,1722883432
